A. J. Burnett	burneaj01
Matt Cain	cainma01
Matt Garza	garzama01
Matt Kilroy	kilroma01
Matt Manning	mannima01
Max Scherzer	scherma01
Mel Parnell	parneme01
Michael Lorenzen	lorenmi01
Mike Fiers	fiersmi01
Mike Flanagan	flanami01
Mike Scott	scottmi03
Mike Warren	warremi01
Mike Witt	wittmi01
Milt Pappas	pappami01
Monte Pearson	pearsmo01
Nap Rucker	ruckena01
Nate Pearson	pearsna01
Nick Maddox	maddoni01
Nolan Ryan	ryanno01
Noodles Hahn	hahnno01
Octavio Dotel	doteloc01
Old Hoss Radbourn	radboch01
Paul Dean	deanpa01
Paul Lindblad	lindbpa01
Peter Munro	munrope01
Phil Niekro	niekrph01
Philip Humber	humbeph01
Porter Hodge	hodgepo01
Pud Galvin	galvipu01
Rafael Montero	montera01
Ramon Martinez	martira02
Randy Johnson	johnsra05
Ray Caldwell	caldwra02
Ray Washburn	washbra01
Red Donahue	donahre01
Reid Detmers	detmere01
Rex Barney	barnere02
Ricardo Rincon	rincori01
Rick Wise	wiseri01
Rollie Fingers	fingero01
Ronel Blanco	blancro01
Roy Halladay	hallaro01
Roy Oswalt	oswalro01
Rube Foster	fosteru01
Rube Marquard	marquru01
Ryan Pressly	pressry01
Ryan Tepera	teperry01
Sal Maglie	maglisa01
Sam Jones	jonessa02
Sam Kimber	kimbesa01
Sandy Koufax	koufasa01
Scott Erickson	ericksc01
Sean Manaea	manaese01
Seth Lugo	lugose01
Shota Imanaga	imanash01
Smoky Joe Wood	woodjo02
Sonny Siebert	siebeso01
Spencer Turnbull	turnbsp01
Stephen Pryor	pryorst01
Steve Barber	barbest01
Steve Busby	busbyst01
Stu Miller	millest01
Taylor Cole	coleta01
Ted Lyons	lyonste01
Terry Mulholland	mulhote01
Tex Carleton	carlete01
Theodore Breitenstein	breitte01
Tim Lincecum	linceti01
Tom Browning	brownto05
Tom Hughes	hugheto02
Tom Lovett	lovetto01
Tom Phoebus	phoebto01
Tom Seaver	seaveto01
Tom Wilhelmsen	wilheto01
Tommy Greene	greento01
Tony Cingrani	cingrto01
Tony Mullane	mullato01
Tyler Gilbert	gilbety01
Tylor Megill	megilty01
Ubaldo Jimenez	jimenub01
Vern Bickford	bickfve01
Vern Kennedy	kenneve01
Vic Willis	willivi01
Vida Blue	bluevi01
Virgil Trucks	truckvi01
Wade Miley	mileywa01
Walker Buehler	buehlwa01
Walter Johnson	johnswa01
Walter Thornton	thornwa01
Warren Spahn	spahnwa01
Weldon Henley	henlewe01
Wes Ferrell	ferrewe01
Will Harris	harriwi02
Wilson Alvarez	alvarwi01
Yimi Garcia	garciyi01
Zach Davies	davieza01
